n,median_ape,p75_ape,p90_ape,median_signed_bias,mean_signed_bias,median_abs_error_aed,mape,project,estimator,n_properties,areas
1818,14.9,27.51,46.3,6.13,9.26,9214.0,19.98,mama residences,B,1,Business Bay
1818,15.12,27.81,46.44,6.48,9.62,9222.0,20.12,mama residences,C,1,Business Bay
1818,16.67,30.0,50.0,10.0,13.64,10000.0,21.93,mama residences,D,1,Business Bay
822,23.2,42.86,64.33,0.0,-0.08,43360.0,31.43,marina arcade tower,A,2,Marsa Dubai
822,28.96,49.35,68.87,13.01,11.92,57960.0,36.4,marina arcade tower,B,2,Marsa Dubai
822,29.71,50.57,70.47,14.06,13.01,59540.0,36.99,marina arcade tower,C,2,Marsa Dubai
822,23.1,42.86,64.28,0.0,-0.34,43250.0,31.38,marina arcade tower,D,2,Marsa Dubai
6787,21.05,36.36,54.28,4.55,4.79,22414.0,26.56,marina star,A,5,Marsa Dubai
6787,23.37,39.0,55.94,7.85,8.47,24160.0,28.18,marina star,B,5,Marsa Dubai
6787,23.54,39.5,56.41,8.56,9.24,24304.0,28.52,marina star,C,5,Marsa Dubai
6787,21.05,36.36,54.0,4.35,4.42,22210.0,26.45,marina star,D,5,Marsa Dubai
7078,16.96,30.0,44.0,5.71,7.38,17000.0,21.98,marquise square,A,4,Business Bay
7078,21.63,36.31,53.54,15.26,16.84,20595.0,26.22,marquise square,B,4,Business Bay
7078,21.82,36.73,53.75,15.61,17.17,20706.0,26.42,marquise square,C,4,Business Bay
7078,16.78,30.0,43.75,5.26,7.02,16272.0,21.83,marquise square,D,4,Business Bay
4446,18.82,30.76,44.84,5.88,8.46,18000.0,22.75,marriott residences,A,2,Business Bay
4446,18.86,31.09,45.22,6.51,9.48,17946.0,23.12,marriott residences,B,2,Business Bay
4446,18.81,31.56,45.49,6.94,9.85,18051.0,23.27,marriott residences,C,2,Business Bay
4446,18.75,30.3,44.62,5.76,8.15,18000.0,22.63,marriott residences,D,2,Business Bay
5,4.69,5.0,25.0,4.69,8.93,3761.0,10.34,mayas geneva,A,1,Al Barsha South Fourth
5,17.49,17.65,41.46,17.49,23.44,13991.0,23.44,mayas geneva,B,1,Al Barsha South Fourth
5,17.49,17.65,41.46,17.49,23.44,13991.0,23.44,mayas geneva,C,1,Al Barsha South Fourth
5,4.69,5.0,24.0,4.69,8.14,3761.0,10.41,mayas geneva,D,1,Al Barsha South Fourth
2484,16.67,28.99,39.29,1.25,3.7,15000.0,20.84,mbl royal,A,3,Al Thanyah Fifth
2484,17.71,28.98,42.72,6.63,8.45,17165.0,22.64,mbl royal,B,3,Al Thanyah Fifth
2484,17.81,28.88,43.03,6.79,8.83,17429.0,22.79,mbl royal,C,3,Al Thanyah Fifth
2484,16.67,28.99,39.29,1.25,3.6,15000.0,20.82,mbl royal,D,3,Al Thanyah Fifth
2919,17.65,28.57,41.18,2.56,5.48,16500.0,21.66,me do re,A,4,Al Thanyah Fifth
2919,18.13,31.52,46.84,7.39,11.21,18768.0,23.97,me do re,B,4,Al Thanyah Fifth
2919,18.2,31.78,47.14,7.53,11.56,18869.0,24.13,me do re,C,4,Al Thanyah Fifth
2919,17.65,28.57,41.18,2.49,5.37,16350.0,21.62,me do re,D,4,Al Thanyah Fifth
1041,18.18,27.67,36.17,-2.6,0.26,15330.0,19.36,mosela waterside residences,A,1,Al Barshaa South Third
1041,18.38,33.29,46.31,9.27,12.22,19104.0,23.1,mosela waterside residences,B,1,Al Barshaa South Third
1041,18.42,33.47,46.57,9.37,12.33,19127.0,23.16,mosela waterside residences,C,1,Al Barshaa South Third
