property_id,project,area,qdrant_category,project_match_status,service_charge_status,production_eligible,failure_reason,mollak_project,mollak_community,location_parity,sc_rate_aed_sqft,sc_year,gf_rate,rf_rate,gt_rate,component_match,unit_size_sqft,annual_service_charge_aed,annual_rent_estimate_aed,income_after_service_charges_aed,master_current_price_aed,gross_rental_yield_pct,yield_after_service_charges_pct
1824,48 Parkside,Arjan,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,748.0,,,,1102050,,
2645,The Atria,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1262.0,,,,2821460,,
87,Binghatti Amber,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1268.0,,,,1600000,,
3160,Marquise Square,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,517.0,,,,1225000,,
8262,Binghatti Orchid,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,1251.0,,,,1700000,,
4872,Binghatti Canal,Business Bay,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,717.0,,,,1650000,,
5193,Serenity Lakes 2,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,402.0,,,,540000,,
7780,The Residence by Prestige One,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,467.0,,,,725000,,
107,Binghatti Lavender,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,739.0,,,,1100000,,
914,Laya Mansion,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,371.0,,,,580000,,
6630,The Autograph Residences,Jumeirah village circle,Apartment,NOT_MATCHED,NOT_MATCHED,False,,,,False,,,,,,,793.0,,,,1500000,,
