property_id,purchase_price_aed,official_dld_fee_status,official_dld_fee_aed,dld_buyer_share_pct,trustee_fee_status,trustee_fee_aed,title_deed_fee_status,title_deed_fee_aed,knowledge_fee_status,knowledge_fee_aed,innovation_fee_status,innovation_fee_aed,broker_purchase_status,developer_admin_status,acquisition_calculation_level,official_acquisition_fees_aed,known_acquisition_costs_aed,complete_acquisition_costs_aed,total_cash_invested_aed,missing_components
2838,1550000.0,OFFICIAL_VERIFIED,31000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,31270.0,31270.0,,,trustee_office_fee|broker_purchase_commission
3843,866000.0,OFFICIAL_VERIFIED,17320.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,17590.0,17590.0,,,trustee_office_fee|broker_purchase_commission
453,2600000.0,OFFICIAL_VERIFIED,52000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,52270.0,52270.0,,,trustee_office_fee|broker_purchase_commission
8066,14580000.0,OFFICIAL_VERIFIED,291600.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,291870.0,291870.0,,,trustee_office_fee|broker_purchase_commission
6835,5500000.0,OFFICIAL_VERIFIED,110000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,110270.0,110270.0,,,trustee_office_fee|broker_purchase_commission
8201,4300000.0,OFFICIAL_VERIFIED,86000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,86270.0,86270.0,,,trustee_office_fee|broker_purchase_commission
1710,2425260.0,OFFICIAL_VERIFIED,48505.2,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,48775.2,48775.2,,,trustee_office_fee|broker_purchase_commission
1913,2500000.0,OFFICIAL_VERIFIED,50000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,50270.0,50270.0,,,trustee_office_fee|broker_purchase_commission
601,1950000.0,OFFICIAL_VERIFIED,39000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,39270.0,39270.0,,,trustee_office_fee|broker_purchase_commission
2842,10828238.0,OFFICIAL_VERIFIED,216564.76,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,216834.76,216834.76,,,trustee_office_fee|broker_purchase_commission
1111,843000.0,OFFICIAL_VERIFIED,16860.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,17130.0,17130.0,,,trustee_office_fee|broker_purchase_commission
5113,3465820.0,OFFICIAL_VERIFIED,69316.4,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,69586.4,69586.4,,,trustee_office_fee|broker_purchase_commission
1637,1400000.0,OFFICIAL_VERIFIED,28000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,28270.0,28270.0,,,trustee_office_fee|broker_purchase_commission
1652,1908480.0,OFFICIAL_VERIFIED,38169.6,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,38439.6,38439.6,,,trustee_office_fee|broker_purchase_commission
6594,1700000.0,OFFICIAL_VERIFIED,34000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,34270.0,34270.0,,,trustee_office_fee|broker_purchase_commission
7916,1700000.0,OFFICIAL_VERIFIED,34000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,34270.0,34270.0,,,trustee_office_fee|broker_purchase_commission
7020,5200000.0,OFFICIAL_VERIFIED,104000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,104270.0,104270.0,,,trustee_office_fee|broker_purchase_commission
897,2800000.0,OFFICIAL_VERIFIED,56000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,56270.0,56270.0,,,trustee_office_fee|broker_purchase_commission
2398,1750000.0,OFFICIAL_VERIFIED,35000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,35270.0,35270.0,,,trustee_office_fee|broker_purchase_commission
2730,1200000.0,OFFICIAL_VERIFIED,24000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,24270.0,24270.0,,,trustee_office_fee|broker_purchase_commission
7464,1020000.0,OFFICIAL_VERIFIED,20400.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,20670.0,20670.0,,,trustee_office_fee|broker_purchase_commission
4547,1050000.0,OFFICIAL_VERIFIED,21000.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,21270.0,21270.0,,,trustee_office_fee|broker_purchase_commission
4245,6920486.0,OFFICIAL_VERIFIED,138409.72,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,138679.72,138679.72,,,trustee_office_fee|broker_purchase_commission
5009,796000.0,OFFICIAL_VERIFIED,15920.0,2.0,MISSING,,OFFICIAL_VERIFIED,250.0,OFFICIAL_VERIFIED,10.0,OFFICIAL_VERIFIED,10.0,MISSING,MISSING,OFFICIAL_ACQUISITION_COSTS,16190.0,16190.0,,,trustee_office_fee|broker_purchase_commission
