property_id,unit_status,purchase_price_available,current_price_aed,annual_rent_available,annual_rent_estimate_aed,sc_eligible,sc_annual_available,income_after_sc_available,net_rental_income_available,acquisition_fee_available,broker_purchase_cost_available,holding_period_available,exit_value_available,selling_cost_available,full_roi_calculable,missing_inputs
580,Offplan,YES,5000000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
2837,Offplan,YES,4600000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
7759,Offplan,YES,4380000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
6525,Offplan,YES,2955260.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
1533,Offplan,YES,10390888.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
6594,Ready,YES,1700000.0,YES,88320.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
2500,Offplan,YES,4430540.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
327,Offplan,YES,1223040.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
7161,Offplan,YES,1298916.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
2314,Offplan,YES,4100000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
5338,Offplan,YES,1135000.0,NO,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,annual_rent|verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
7916,Ready,YES,1700000.0,YES,115200.0,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,verified_service_charge|net_rental_income|acquisition_costs|broker_purchase_cost|holding_period|exit_value|selling_costs
